blockNumber,address,gasPrice,meanGasPriceLastTenBlocks,stdGasPriceLastTenBlocks,meanGasPriceLastTenBlocksSameEOA,stdGasPriceLastTenBlocksSameEOA,usedGasToken,predictedGasPrice
3138849,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,2e-08,2.1922077922077923e-08,6.510264091370079e-09,2.0000000000000004e-08,3.3087224502121114e-24,False,4.0486856534016624e-08
7929556,0x942e01558A1d564fA2Bf6623aCdBECEe1A6A4dA1,1e-09,9.355049986359505e-09,1.2312198695064084e-08,1e-09,0.0,False,4.048685298130295e-08
12104063,0x34b4A53b18Ec2864b06369118626Aa8B10c96F00,1.77e-07,1.892529176742208e-07,6.036861630394933e-08,1.77e-07,0.0,False,4.0486856534016624e-08
12924799,0xb97cD071edb9baF88272e7b405f1F0Bb939A2B8F,3.4e-08,3.5897345169841813e-08,3.483665096935199e-08,3.4e-08,0.0,False,4.0486856534016624e-08
1422161,0x31736FFbAECAF01FcCf6C717AdC1fF5dfcD5170A,2e-08,2.3783783783783783e-08,5.623960012617514e-09,2e-08,0.0,False,4.0486856534016624e-08
6210013,0x6df88c88246A286E4f83e92a4dB4D72F6307baf5,2.1e-09,9.163050788843374e-09,1.6990322177021543e-08,2.1e-09,0.0,False,4.048685298130295e-08
16805921,0x4c9AF439b1A6761B8E549D8d226A468a6b2803A8,4.2800557963e-08,4.6230382397544426e-08,2.8840804138937703e-08,4.2474153708e-08,3.2640425499999877e-10,False,4.0486856534016624e-08
10413912,0x169687a3Fc693448655290E8D656DF7d72cA6b46,4e-08,4.071356975729555e-08,1.2549127752279853e-08,4e-08,0.0,False,4.0486856534016624e-08
16330635,0x6dfc34609a05bC22319fA4Cce1d1E2929548c0D7,1.1533e-07,8.30439805549823e-08,2.867112936350412e-07,7.902635485675e-08,1.8972247547440824e-08,False,4.0486856534016624e-08
6200536,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,1e-09,1.027556851684553e-08,1.8609489196026967e-08,1e-09,0.0,False,4.048685298130295e-08
770994,0xA4ae76fAE6761bba601E46884db834C83365c832,5.2e-08,5.181818181818182e-08,2.757409252382381e-09,5.2e-08,0.0,False,4.0486856534016624e-08
15870995,0x93Fe388B4271DF327BCd326556C9268FBfd96815,1.9e-08,2.6831809776918025e-08,1.5660340846305765e-07,1.9e-08,0.0,False,4.0486856534016624e-08
17659787,0x8A9bEA6fd19E249e9ce84566d244269dd1C4238c,1.6228677427e-08,1.672072464448101e-08,2.5712338245030506e-08,1.6228677427e-08,0.0,False,4.048685298130295e-08
18081309,0x72B813FA4F0f206845f9dEC27e5DF055c81868d6,1.1680871752e-08,1.6436276751144157e-08,2.1465600140704498e-08,1.2846392774000002e-08,5.719358418057404e-10,False,4.048685298130295e-08
11246792,0xf6025e63cee5E436a5F1486e040aEEAd7e97B745,4.8e-08,5.104606489659406e-08,6.184552199886092e-08,4.8e-08,0.0,False,4.0486856534016624e-08
5191855,0x30647acC7cE2a1b20DacD05C5a27FD67FF4f469d,3.5e-08,1.6082978898024247e-08,2.093886943045098e-08,3.5e-08,0.0,False,4.0486856534016624e-08
9539550,0xd195A1cC16044e12d54fBd99853BcB99111c166e,1e-09,1.146945170717823e-08,1.4052251999747078e-08,1e-09,0.0,False,4.048685298130295e-08
11488845,0xd33577609F71Eeb9e72B8B077590f50F9cbbCe0A,3.26e-08,4.176844115816583e-08,1.888262304650057e-07,3.255e-08,5.000000000000045e-11,False,4.0486856534016624e-08
1402269,0xaf5e854191F9aF289e0505e6F44d57871cdc1e9f,3e-08,2.3753962939617827e-08,5.582183568686131e-09,3e-08,0.0,False,4.0486856534016624e-08
2381729,0x6c7F03ddfDd8a37ca267C88630A4FeE958591De0,4e-08,3.87568588527e-08,1.3611812944074514e-08,4.0000000000000014e-08,6.617444900424223e-24,False,4.0486856534016624e-08
16017451,0xd87738CE377637E309B0611CFC9c1800e8810c32,1.1e-08,1.6864059786669422e-08,2.1095596381308173e-08,1.1e-08,0.0,False,4.048685298130295e-08
19234485,0x15CA2F626096f9EF215EC43A580cB5DC935b32cd,4.1405170521e-08,4.7184284333967534e-08,2.00096162588327e-08,4.1405170521e-08,0.0,False,4.0486856534016624e-08
